video,condition,true_val,blockiness,zero_dct_ratio,grid_std,brisque
000008.mp4,jpeg_q30,30,0.310949,0.939094,1.102078,56.1437
000008.mp4,jpeg_q60,60,0.220738,0.918646,1.188516,54.6872
000008.mp4,jpeg_q90,90,0.149218,0.841418,1.359086,53.3552
000009.mp4,clean,0,0.133034,0.72152,1.635064,54.3356
000009.mp4,h264_crf18,18,0.142111,0.672094,1.506657,50.8298
000009.mp4,h264_crf23,23,0.140561,0.702148,1.607748,52.4557
000009.mp4,h264_crf28,28,0.137534,0.715541,1.639578,53.6799
000009.mp4,h264_crf33,33,0.14824,0.737464,1.475735,53.9811
000009.mp4,h264_crf38,38,0.160002,0.748705,1.263788,56.3591
000009.mp4,h264_crf43,43,0.192224,0.750159,1.505305,52.6633
000009.mp4,jpeg_q30,30,0.312901,0.94027,1.120838,58.4797
000009.mp4,jpeg_q60,60,0.221284,0.921158,1.294299,56.6931
000009.mp4,jpeg_q90,90,0.152685,0.847198,1.540043,55.9748
000010.mp4,clean,0,0.140899,0.712831,1.469517,52.8522
000010.mp4,h264_crf18,18,0.148723,0.662169,1.420635,48.572
000010.mp4,h264_crf23,23,0.148007,0.702188,1.387851,51.4743
000010.mp4,h264_crf28,28,0.146744,0.725785,1.421656,51.7204
000010.mp4,h264_crf33,33,0.145451,0.732681,1.389048,55.1887
000010.mp4,h264_crf38,38,0.155563,0.736727,1.313674,52.8703
000010.mp4,h264_crf43,43,0.193355,0.758929,1.402004,54.7248
000010.mp4,jpeg_q30,30,0.321291,0.939134,1.013834,54.1408
000010.mp4,jpeg_q60,60,0.231369,0.919723,1.214174,57.0925
000010.mp4,jpeg_q90,90,0.160549,0.845185,1.384578,53.3317
000011.mp4,clean,0,0.135026,0.717793,1.535723,54.5627
000011.mp4,h264_crf18,18,0.143489,0.676638,1.502221,50.5012
000011.mp4,h264_crf23,23,0.138586,0.712691,1.547506,54.1584
000011.mp4,h264_crf28,28,0.140581,0.7217,1.459192,53.6144
000011.mp4,h264_crf33,33,0.152466,0.740553,1.519462,56.0134
000011.mp4,h264_crf38,38,0.161941,0.745217,1.429178,54.6208
000011.mp4,h264_crf43,43,0.18096,0.757673,1.280747,55.9474
000011.mp4,jpeg_q30,30,0.319004,0.939872,1.129392,53.1955
000011.mp4,jpeg_q60,60,0.222829,0.920121,1.249193,55.8425
000011.mp4,jpeg_q90,90,0.15517,0.846002,1.437503,55.0578
000012.mp4,clean,0,0.131333,0.704799,1.491065,52.86
000012.mp4,h264_crf18,18,0.134957,0.662209,1.495668,49.8298
000012.mp4,h264_crf23,23,0.131873,0.701351,1.506163,52.945
000012.mp4,h264_crf28,28,0.134993,0.717734,1.581193,54.2912
000012.mp4,h264_crf33,33,0.146015,0.729831,1.45357,53.8962
000012.mp4,h264_crf38,38,0.153909,0.720065,1.449494,51.756
000012.mp4,h264_crf43,43,0.194207,0.735212,1.051678,52.5143
000012.mp4,jpeg_q30,30,0.306774,0.939832,1.034958,54.0563
000012.mp4,jpeg_q60,60,0.218725,0.918666,1.241926,53.7682
000012.mp4,jpeg_q90,90,0.152877,0.842773,1.373251,53.8098
000013.mp4,clean,0,0.133608,0.714565,1.507816,55.2023
000013.mp4,h264_crf18,18,0.14265,0.646305,1.406243,50.1428
000013.mp4,h264_crf23,23,0.138361,0.682617,1.475797,51.425
000013.mp4,h264_crf28,28,0.136358,0.700913,1.405289,50.8752
000013.mp4,h264_crf33,33,0.137952,0.712651,1.404189,54.7692
000013.mp4,h264_crf38,38,0.156718,0.72999,1.437725,54.8845
000013.mp4,h264_crf43,43,0.19535,0.737982,1.448801,52.9035
000013.mp4,jpeg_q30,30,0.313486,0.939792,1.024426,57.8659
000013.mp4,jpeg_q60,60,0.219105,0.919583,1.258664,57.4841
000013.mp4,jpeg_q90,90,0.152764,0.845603,1.408672,56.0944
000014.mp4,clean,0,0.129122,0.710379,1.424796,54.5651
000014.mp4,h264_crf18,18,0.134635,0.668088,1.354748,51.985
000014.mp4,h264_crf23,23,0.136685,0.69876,1.351933,53.5139
000014.mp4,h264_crf28,28,0.133979,0.71596,1.433322,52.8889
000014.mp4,h264_crf33,33,0.1381,0.717793,1.44648,55.1203
000014.mp4,h264_crf38,38,0.149844,0.731246,1.399214,54.2433
000014.mp4,h264_crf43,43,0.187563,0.739995,1.316035,53.0163
000014.mp4,jpeg_q30,30,0.305814,0.939553,1.01947,58.7424
000014.mp4,jpeg_q60,60,0.218189,0.920301,1.245735,56.4894
000014.mp4,jpeg_q90,90,0.149133,0.844986,1.358589,55.9352
000015.mp4,clean,0,0.133312,0.718511,1.546011,54.5065
000015.mp4,h264_crf18,18,0.139301,0.674027,1.428089,52.132
000015.mp4,h264_crf23,23,0.136249,0.702766,1.480662,53.4528
000015.mp4,h264_crf28,28,0.133251,0.716837,1.471419,52.6638
000015.mp4,h264_crf33,33,0.138354,0.727419,1.445724,56.6926
000015.mp4,h264_crf38,38,0.155974,0.731186,1.483898,55.1974
000015.mp4,h264_crf43,43,0.193108,0.739238,1.444323,52.7023
000015.mp4,jpeg_q30,30,0.311979,0.939234,1.087911,57.4308
000015.mp4,jpeg_q90,90,0.152386,0.845285,1.380755,55.3913
000016.mp4,clean,0,0.13692,0.711874,1.649041,55.2946
000016.mp4,h264_crf18,18,0.157744,0.710619,1.35212,52.7458
000016.mp4,h264_crf23,23,0.152816,0.738062,1.346956,55.5554
000016.mp4,h264_crf28,28,0.15489,0.743662,1.332535,52.9767
000016.mp4,h264_crf33,33,0.161907,0.748147,1.283068,55.8098
000016.mp4,h264_crf38,38,0.177433,0.759965,1.185583,53.6262
000016.mp4,h264_crf43,43,0.22194,0.764489,1.339384,56.5944
000016.mp4,jpeg_q90,90,0.154806,0.842674,1.599813,55.4059
000017.mp4,clean,0,0.136254,0.730588,1.598307,54.2189
000017.mp4,h264_crf18,18,0.146973,0.689812,1.647297,52.1667
000017.mp4,h264_crf23,23,0.146953,0.712632,1.621466,52.9362
000017.mp4,h264_crf28,28,0.143545,0.737743,1.55747,55.2233
000017.mp4,h264_crf33,33,0.152106,0.748525,1.461755,55.8947
000017.mp4,h264_crf38,38,0.163935,0.758072,1.369215,54.3781
